query,exists,name,company_type,claimed,phone_number,address,website,Friday_hours,Saturday_hours,Sunday_hours,Monday_hours,Tuesday_hours,Wednesday_hours,Thursday_hours
SETEX SCHERMULY TEXTILE COMPUT,TRUE,SETEX Schermuly textile computer GmbH,"""YhemCb"">Computer store in Mengerskirchen, Germany",FALSE,+49 6476 91470</span></a>,"Hauptstraﬂe 23, 35794 Mengerskirchen, Germany",https://www.setex-germany.com/,8amñ5pm,Closed,Closed,8amñ5pm,8amñ5pm,8amñ5pm,8amñ5pm
SEJONG PHARMATECH CO LIMITED,FALSE,,,,,,,,,,,,,
SCHUBERT & SALZER CONTROL SYSTEMS,FALSE,,,,,,,,,,,,,
SAURER SPINNING SOLUTIONS GMBH & CO,TRUE,Saurer Textile Solutions Pvt. Ltd,"""YhemCb"">Repair service in Punjab",FALSE,0172 521 7900</span></a>,"Sector 82, JLPL Industrial Area, Punjab 140308",http://www.saurer.com/,9amñ5:45pm,Closed,Closed,9amñ5:45pm,9amñ5:45pm,9amñ5:45pm,9amñ5:45pm
SACMI IMOLA,FALSE,,,,,,,,,,,,,
REDINGTON DISTRIBUTION PRIVATE LIMITED,FALSE,,,,,,,,,,,,,
QINGDAO TOPSON INTERNATIONAL TRADI NG CO LIMITED,FALSE,,,,,,,,,,,,,
PREVOR SARL,TRUE,Prevor,"""YhemCb"">Chemistry lab in Madrid, Spain",FALSE,+34 915 51 57 67</span></a>,"Av. del Planetario, 1, 28045 Madrid, Spain",https://www.prevor.com/es/,8amñ3pm,Closed,Closed,8:30amñ6pm,8:30amñ6pm,8:30amñ6pm,8:30amñ6pm
PAM TRADING CORP,TRUE,Pam Trading Corporation,"""YhemCb"">Plastic injection molding service in Kernersville, North Carolina",FALSE,+1 336-668-0901</span></a>,"1135 Snow Bridge Ln, Kernersville, NC 27284, United States",http://www.paminjectionmolding.com/,8amñ5pm,Closed,Closed,8amñ5pm,8amñ5pm,8amñ5pm,8amñ5pm
PALL LIFE SCIENCE PUERTO RICO LLC,TRUE,Pall Life Sciences,"""YhemCb"">Medical equipment manufacturer in Fajardo, Puerto Rico",FALSE,+1 787-863-1124</span></a>,"Fajardo, 00738, Puerto Rico",http://www.pall.com/,,,,,,,
NISSEI ELECTRIC BANGKOK TRADING CO,TRUE,"Nissei Electric (Bangkok) Trading Co., Ltd",,FALSE,,"888, 156 Phloen Chit Rd, Khwaeng Lumphini, Pathum Wan District, Bangkok 10330, Thailand",#,,,,,,,
NEMATRON CONTROL SYSTEM ASIA PTE,TRUE,Nematron Control System (Asia) Pte Ltd,"""YhemCb"">Manufacturer in Singapore",FALSE,+65 6272 5268</span></a>,"1001 Jalan Bukit Merah, Singapore 159455",http://www.nematron-asia.com/,,,,,,,
NAN YA PLASTICS CORPORATION,FALSE,,,,,,,,,,,,,
MORGAN AM AND T SHANGHAI CO LIMITED,FALSE,,,,,,,,,,,,,
LS AUTOMOTIVE TECHNOLOGIES CO LIMITED,FALSE,,,,,,,,,,,,,
LOUIS VUITTON SINGAPORE PRIVATE LIMITED,FALSE,,,,,,,,,,,,,
LAKE REGION MEDICAL INC,FALSE,,,,,,,,,,,,,
KOREA ELECTRIC TERMINAL CO LIMITED,FALSE,,,,,,,,,,,,,
JUNIPER NETWORKS INTERNATIONAL,TRUE,"Juniper Networks, Inc.","""YhemCb"">Telecommunications equipment supplier in New Delhi",FALSE,011 3092 2900</span></a>,"503 &amp; 504, 5th Floor Copia Corporate Suites, Plot No.9, Non Hierarchical Commercial Centre, Jasola Vihar, New Delhi, Delhi 110044",http://www.juniper.net/,9amñ5pm,Closed,Closed,9amñ5pm,9amñ5pm,9amñ5pm,9amñ5pm
HYVE SOLUTIONS CORPORATION,TRUE,Hyve Solutions,"""YhemCb"">Corporate office",FALSE,+1 855-869-6873</span></a>,"44201 Nobel Dr, Fremont, CA 94538, United States",https://hyvesolutions.com/,,,,,,,
HUNAN NORCHEM PHARMACEUTICAL,FALSE,,,,,,,,,,,,,
HANNECARD BENELUX NV SA,TRUE,Hannecard NV,"""YhemCb"">Manufacturer in Ronse, Belgium",TRUE,+32 55 23 76 30</span></a>,"Ninoofsesteenweg 589, 9600 Ronse, Belgium",http://www.hannecard.com/,8amñ4:30pm,Closed,Closed,8amñ4:30pm,8amñ4:30pm,8amñ4:30pm,8amñ4:30pm
HANGZHOU QICHUANG CHEMICAL CO LIMITED,FALSE,,,,,,,,,,,,,
GUANGDONG YIZUMI PRECISION INJECTIO,FALSE,,,,,,,,,,,,,
GRUNDFOS PUMPS SUZHOU LIMITED,FALSE,,,,,,,,,,,,,
GROZ BECKERT KG,TRUE,"Groz-Beckert</span></h2><div class=""wwUB2c PZPZlf"" data-attrid=""subtitle""><span data-ved=""2ahUKEwj78Mb3rtTtAhWnI7kGHSGeDIgQ2kooAjAPegQIFRAM"">Company","""YhemCb"">Corporate office",FALSE,0124 472 1803</span></a>,"2nd Floor Vatika Professional Point, Sector 66, Gurugram, Haryana 122002",https://www.groz-beckert.com/,8:30amñ5:30pm,8:30amñ1:30pm,Closed,8:30amñ5:30pm,8:30amñ5:30pm,8:30amñ5:30pm,8:30amñ5:30pm
GEA MECHANICAL EQUIPMENT ITALIA,FALSE,,,,,,,,,,,,,
FLOWSERVE AHAUS GMBH,TRUE,Flowserve Ahaus GmbH,"""YhemCb"">Mechanical engineer in Ahaus, Germany",FALSE,+49 2561 6860</span></a>,"Von-Braun-Straﬂe 19A, 48683 Ahaus, Germany",https://www.flowserve.de/,,,,,,,
FIVES FILLING AND SEALING,TRUE,Filling & Sealing Fives,"""YhemCb"">Machining manufacturer in Le Bignon, France",TRUE,+33 2 40 32 06 06</span></a>,"17 Rue de la CommunautÈ, 44140 Le Bignon, France",https://filling-sealing.fivesgroup.com/,8amñ12:30pm,Closed,Closed,"8amñ12:30pm, 1:45ñ5:15pm","8amñ12:30pm, 1:45ñ5:15pm","8amñ12:30pm, 1:45ñ5:15pm","8amñ12:30pm, 1:45ñ5:15pm"
FCA INTERNATIONAL OPERATIONS LLC,FALSE,,,,,,,,,,,,,
EVONIK NUTRITION AND CARE GNMH,FALSE,,,,,,,,,,,,,
ETHICON LLC,FALSE,,,,,,,,,,,,,
ERICSSON AB,FALSE,,,,,,,,,,,,,
ENGEL AUSTRIA GMBH,FALSE,,,,,,,,,,,,,
E PHARM LIMITED,FALSE,,,,,,,,,,,,,
DOLLFUS & MULLER,FALSE,,,,,,,,,,,,,
DASSAULT AVIATION FALCON SPARES DAFS52 AVENUE,FALSE,,,,,,,,,,,,,
CUMMINS EMISSION SOLUTIONS,FALSE,,,,,,,,,,,,,
CONSTRUCTION TOOLS GMBH,TRUE,Epiroc Werk Construction Tools GmbH,"""YhemCb"">Construction equipment supplier in Essen, Germany",FALSE,+49 201 63300</span></a>,"Helenenstraﬂe 149, 45143 Essen, Germany",http://www.epiroc.com/,,,,,,,
CISCO SYSTEMS INTERNATIONAL,TRUE,"Cisco Systems International B.V.</span></h2><div class=""wwUB2c PZPZlf"" data-attrid=""subtitle""><span data-ved=""2ahUKEwil9q2Cr9TtAhUDFLkGHVhlALwQ2kooAjATegQIKRAM"">Company","""YhemCb"">Software company in Haryana",TRUE,0124 440 2000</span></a>,"Udyog Vihar Phase-IV Plot No 15 RMZ Infinity, Gurugram, Haryana 122015",https://www.cisco.com/c/en_in/index.html,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
CANON SINGAPORE PRIVATE LIMITED SUPPLY,TRUE,Canon Singapore Pte Ltd,"""YhemCb"">Corporate office",FALSE,+65 6799 8888</span></a>,"1 Fusionopolis Pl, #15-10 Galaxis, Singapore 138522",https://sg.canon/,8:30amñ5:30pm,Closed,Closed,8:30amñ5:30pm,8:30amñ5:30pm,8:30amñ5:30pm,8:30amñ5:30pm
CAN PACK,FALSE,,,,,,,,,,,,,
BPREX HEALTHCARE OFFRANVILLE SAS,FALSE,,,,,,,,,,,,,
BEAMEX OY AB,FALSE,,,,,,,,,,,,,
BASF SE,TRUE,"BASF</span></h2><div class=""wwUB2c PZPZlf"" data-attrid=""subtitle""><span data-ved=""2ahUKEwjsuuWHr9TtAhVPIrkGHR3ACv8Q2kooAjAXegQIKhAM"">Chemicals company","""YhemCb"">Chemical manufacturer in New Delhi",FALSE,011 4159 6400</span></a>,"4th Floor, A Wing, Commercial Plaza, Radisson Hotel, Mahipalpur, NH 8, 110037",http://www.basf.com/,9amñ6pm,Closed,Closed,9amñ6pm,9amñ6pm,9amñ6pm,9amñ6pm
ARROW ELECTRONICS ASIA S PRIVATE LIMITED,FALSE,,,,,,,,,,,,,
ABBOTT LABORATORIES INT LLC,FALSE,,,,,,,,,,,,,
